id	cpp_file	cpp_line	platforms	cpp_condition_chain	block_responsibility	selfhost_evidence	selfhost_when	status	finding
PB075	Macro/MacroEvaluationClient.cpp	75	Windows	75:#ifdef _WIN32 | 81:#else	平台块负责选择：#ifdef _WIN32 => void MacroProcMsger::SetSrvPipeHandle(HANDLE hRead, HANDLE hWrite); #else => void MacroProcMsger::SetSrvPipeHandle(int hRead, int hWrite)	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB076	Macro/MacroEvaluationClient.cpp	91	Windows	91:#ifdef _WIN32 | 120:#else	平台块负责选择：#ifdef _WIN32 => if (hParentRead != nullptr) {; #else => if (pipefdP2C[1] != -1) {	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB077	Macro/MacroEvaluationClient.cpp	160	Windows	160:#ifdef _WIN32 | 162:#else	平台块负责选择：#ifdef _WIN32 => return WriteFile(hParentWrite, buf, static_cast<DWORD>(size), nullptr, 0) == TRUE;; #else => ssize_t res = write(pipefdP2C[1], buf, size);	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB078	Macro/MacroEvaluationClient.cpp	175	Windows	175:#ifdef _WIN32 | 177:#else	平台块负责选择：#ifdef _WIN32 => return ReadFile(hParentRead, buf, static_cast<DWORD>(size), nullptr, nullptr) == TRUE;; #else => ssize_t res = read(pipefdC2P[0], buf, size);	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB079	Macro/MacroEvaluationClient.cpp	258	Windows	258:#ifdef _WIN32 | 268:#else	平台块负责选择：#ifdef _WIN32 => DWORD totalBytesAvail;; #else => fd_set readset;	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB080	Macro/MacroEvaluationClient.cpp	549	Linux	549:#ifdef __linux__	平台块负责选择：#ifdef __linux__ => if (prctl(PR_SET_PDEATHSIG, SIGHUP) == -1) {	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB081	Macro/MacroEvaluationClient.cpp	471	Apple,Linux	471:#if defined(__linux__) || defined(__APPLE__) | 570:#else	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => namespace {; #else => void WaitProcessExit(PROCESS_INFORMATION pi)	packages/macro/src/InvokeUtil.cj:450	NO	DIVERGENT	selfhost 用进程内队列替代 Win named pipe/POSIX pipe、fork、wait 与 Linux prctl。
PB082	Macro/MacroEvaluationSrv.cpp	14	Apple,Linux	14:#if defined (__linux__) || defined(__APPLE__)	平台块负责选择：#if defined (__linux__) || defined(__APPLE__) => #include <sys/wait.h>	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB083	Macro/MacroEvaluationSrv.cpp	20	Linux	20:#ifdef __linux__	平台块负责选择：#ifdef __linux__ => #include <sys/prctl.h>	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB084	Macro/MacroEvaluationSrv.cpp	60	Windows	60:#ifdef _WIN32 | 63:#else	平台块负责选择：#ifdef _WIN32 => return WriteFile(hChildWrite, buf, static_cast<DWORD>(size), nullptr, nullptr) == TRUE;; #else => ssize_t res = write(pipefdC2P[1], buf, size);	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB085	Macro/MacroEvaluationSrv.cpp	75	Windows	75:#ifdef _WIN32 | 77:#else	平台块负责选择：#ifdef _WIN32 => return ReadFile(hChildRead, buf, static_cast<DWORD>(size), nullptr, nullptr) == TRUE;; #else => ssize_t res = read(pipefdP2C[0], buf, size);	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB086	Macro/MacroEvaluationSrv.cpp	138	Linux	138:#ifdef __linux__	平台块负责选择：#ifdef __linux__ => namespace {	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB087	Macro/MacroEvaluationSrv.cpp	160	Linux	160:#ifdef __linux__	平台块负责选择：#ifdef __linux__ => RenameSrvProcess();	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB088	Macro/MacroEvaluationSrv.cpp	156	Apple,Linux	156:#if defined(__linux__) || defined(__APPLE__)	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => void MacroEvaluation::RunMacroSrv()	packages/macro/src/MacroEvaluationSrv.cj:81	NO	DIVERGENT	selfhost server 为进程内循环，未保留 Win/POSIX pipe 与 Linux rename/prctl 分支。
PB089	Option/Option.cpp	30	Windows	30:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <windows.h>	packages/option/src/Option.cj	YES	COVERED	输出名长度和动态库后缀在 selfhost 按 host/target 平台选择。
PB090	Option/Option.cpp	47	Windows,Apple	47:#ifdef _WIN32 | 49:#elif defined(__APPLE__) | 51:#else	平台块负责选择：#ifdef _WIN32 => const std::string DL_EXTENSION = "dll";; #elif defined(__APPLE__) => const std::string DL_EXTENSION = "dylib";; #else => const std::string DL_EXTENSION = "so";	packages/option/src/Option.cj	YES	COVERED	输出名长度和动态库后缀在 selfhost 按 host/target 平台选择。
PB091	Option/Option.cpp	367	Windows	367:#ifdef _WIN32 | 370:#else	平台块负责选择：#ifdef _WIN32 => size_t defaultOutputNameLen = 8;; #else => size_t defaultOutputNameLen = 4;	packages/option/src/Option.cj	YES	COVERED	输出名长度和动态库后缀在 selfhost 按 host/target 平台选择。
PB092	Option/OptionAction.cpp	711	Windows	711:#ifdef _WIN32 | 713:#else	平台块负责选择：#ifdef _WIN32 => tmpPath = tmpPath[tmpPath.size() - 1] == '\\' ? tmpPath : tmpPath + "\\";; #else => tmpPath = tmpPath[tmpPath.size() - 1] == '/' ? tmpPath : tmpPath + "/";	packages/option/src/OptionAction.cj:181	NO	DIVERGENT	selfhost --trimpath 始终追加 /，缺 Windows \ 分支。
PB093	Parse/ASTHasher.cpp	112	Windows	112:#ifdef _WIN32 | 114:#else	平台块负责选择：#ifdef _WIN32 => pkgName += "\\";; #else => pkgName += "/";	packages/parse/src/ASTHasher.cj:57	YES	COVERED	裁剪包名前缀时 Windows \ 与非 Windows / 分支对应。
PB094	Utils/FileUtil.cpp	31	Windows,Apple,Linux	31:#ifdef _WIN32 | 41:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => #include "cangjie/Basic/StringConvertor.h"; #elif defined(__linux__) || defined(__APPLE__) => #include <dirent.h>	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB095	Utils/FileUtil.cpp	54	ARM32	54:#ifdef __arm__ | 57:#else	平台块负责选择：#ifdef __arm__ => const size_t FILE_LEN_LIMIT = 2ULL * 1024 * 1024 * 1024; // 2 GB for arm32; #else => const size_t FILE_LEN_LIMIT = 4ULL * 1024 * 1024 * 1024; // 4 GB	packages/utils/src/FileUtil.cj	NO	DIVERGENT	selfhost 文件长度上限固定 4 GB，缺 ARM32 官方 2 GB 分支。
PB096	Utils/FileUtil.cpp	61	Windows	61:#ifdef _WIN32 | 66:#else	平台块负责选择：#ifdef _WIN32 => inline int Mkdir(const std::string& path); #else => inline int Mkdir(const std::string& path)	packages/utils/src/FileUtil.cj	NO	DIVERGENT	selfhost CreateDirs 统一用 std.fs，未镜像 _mkdir 与 POSIX mkdir(0755) 分支。
PB097	Utils/FileUtil.cpp	132	Windows	132:#ifdef _WIN32 | 205:#else	平台块负责选择：#ifdef _WIN32 => bool RemoveDirRecursivelyInternal(const std::wstring& dirPath); #else => bool RemoveDirRecursively(const std::string& dirPath)	packages/utils/src/FileUtil.cj	NO	DIVERGENT	selfhost 统一用 std.fs 递归删除，未镜像 Windows 宽字符/reparse 与 POSIX lstat 分支。
PB098	Utils/FileUtil.cpp	248	Windows	248:#ifdef _WIN32 | 250:#else	平台块负责选择：#ifdef _WIN32 => return c == BACKSLASH || c == SLASH;; #else => return c == SLASH;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB099	Utils/FileUtil.cpp	278	Windows	278:#ifdef _WIN32 | 280:#else	平台块负责选择：#ifdef _WIN32 => return s;; #else => std::string ret = s;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB100	Utils/FileUtil.cpp	413	Windows	413:#ifdef _WIN32 | 415:#else	平台块负责选择：#ifdef _WIN32 => const char slash = toUnix ? SLASH : BACKSLASH;; #else => (void)toUnix;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB101	Utils/FileUtil.cpp	440	Windows	440:#ifdef _WIN32 | 448:#else	平台块负责选择：#ifdef _WIN32 => DWORD dwAttr = GetFileAttributesA(filePath.c_str());; #else => if (AccessWithResult(filePath, FM_READ) == AccessResultType::NO_PERMISSION) {	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB102	Utils/FileUtil.cpp	473	Windows	473:#ifdef _WIN32 | 483:#else	平台块负责选择：#ifdef _WIN32 => if (filePath.size() < 3) {; #else => return filePath.find_first_of(DIR_SEPARATOR) == 0;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB103	Utils/FileUtil.cpp	490	Windows	490:#ifdef _WIN32 | 500:#else	平台块负责选择：#ifdef _WIN32 => DWORD dwAttr = GetFileAttributesA(itemPath.c_str());; #else => struct stat statBuf;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB104	Utils/FileUtil.cpp	517	Windows	517:#ifdef _WIN32 | 540:#else	平台块负责选择：#ifdef _WIN32 => DWORD attr = GetFileAttributesA(dirPath.c_str());; #else => struct stat st {};	packages/utils/src/FileUtil.cj	NO	DIVERGENT	selfhost 统一用 std.fs 删除，未镜像 Windows reparse-point 宽字符路径。
PB105	Utils/FileUtil.cpp	708	Windows	708:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => char resolvedPath[PATH_MAX] = {0};	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB106	Utils/FileUtil.cpp	725	Windows	725:#ifdef _WIN32 | 733:#else	平台块负责选择：#ifdef _WIN32 => int retval = GetFullPathNameA(path.c_str(), PATH_MAX, resolvedPath, NULL);; #else => if (!realpath(path.c_str(), resolvedPath)) {	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB107	Utils/FileUtil.cpp	754	Windows	754:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => if (lastDelimPos == 0 && !IsSlash(path[0])) {	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB108	Utils/FileUtil.cpp	792	Windows	792:#ifdef _WIN32 | 794:#else	平台块负责选择：#ifdef _WIN32 => GetAllDirsUnderCurrentPath(root, allDirs);; #else => std::queue<std::string> pathQueue;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB109	Utils/FileUtil.cpp	825	Windows	825:#ifdef _WIN32 | 829:#else	平台块负责选择：#ifdef _WIN32 => struct __stat64 statBuf;; #else => struct stat statBuf;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB110	Utils/FileUtil.cpp	851	Windows	851:#ifdef _WIN32 | 911:#else	平台块负责选择：#ifdef _WIN32 => void GetAllDirsUnderCurrentPath(const std::string& dir, std::vector<std::string>& allFiles); #else => std::vector<std::string> GetAllFilesUnderCurrentPath(	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB111	Utils/FileUtil.cpp	1145	Windows	1145:#ifdef _WIN32 | 1147:#else	平台块负责选择：#ifdef _WIN32 => return Access(path, mode) ? AccessResultType::OK : AccessResultType::FAILED_WITH_UNKNOWN_REASON;; #else => if (access(path.c_str(), static_cast<int>(mode)) == 0) {	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB112	Utils/FileUtil.cpp	1162	Windows	1162:#ifdef _WIN32 | 1164:#else	平台块负责选择：#ifdef _WIN32 => return _access(path.c_str(), static_cast<int>(mode)) == 0;; #else => return access(path.c_str(), static_cast<int>(mode)) == 0;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB113	Utils/FileUtil.cpp	1171	Windows,Apple,Linux	1171:#if defined(_WIN32) | 1195:#elif defined(__APPLE__) || defined(__linux__) // On WSL case, we need to consider case sensitivity. | 1218:#else	平台块负责选择：#if defined(_WIN32) => if (!Access(path, FM_EXIST)) {; #elif defined(__APPLE__) || defined(__linux__) // On WSL case, we need to consider case sensitivity. => if (!Access(path, FM_EXIST)) {; #else => return Access(path, FM_EXIST);	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB114	Utils/FileUtil.cpp	1279	Windows,Apple,Linux	1279:#ifdef _WIN32 | 1281:#elif defined(__linux__) || defined(__APPLE__)	平台块负责选择：#ifdef _WIN32 => if (!Utils::In(tmpDirPath[i], {BACKSLASH, SLASH})) {; #elif defined(__linux__) || defined(__APPLE__) => if (tmpDirPath[i] != SLASH) {	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB115	Utils/FileUtil.cpp	1323	Windows	1323:#ifdef _WIN32 | 1325:#else	平台块负责选择：#ifdef _WIN32 => const std::string separator = ";";; #else => const std::string separator = ":";	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB116	Utils/FileUtil.cpp	1345	Windows	1345:#ifdef _WIN32 | 1357:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::wstring> tempPath = StringConvertor::StringToWString(path);; #else => return access(path.c_str(), W_OK) == 0;	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB117	Utils/FileUtil.cpp	1365	Windows	1365:#ifdef _WIN32 | 1374:#else	平台块负责选择：#ifdef _WIN32 => char split = '\\';; #else => char split = '/';	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB118	Utils/FileUtil.cpp	1394	Windows	1394:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => void HideFile(const std::string& path)	packages/utils/src/FileUtil.cj	YES	COVERED	对应 FileUtil 平台分支存在或由结果等价的 branchless std.fs 实现覆盖。
PB119	Utils/SignalUtil.cpp	91	Windows	91:#if defined(_WIN32)	平台块负责选择：#if defined(_WIN32) => void AsyncSigSafePutHex(uint64_t num)	packages/utils/src/Signal.cj	NO	MISSING	selfhost 无 Windows PrintCrashBacktrace/RVA 输出及同步信号处理调用。
PB120	Utils/SignalUtil.cpp	174	Windows	174:#if defined(_WIN32)	平台块负责选择：#if defined(_WIN32) => PrintCrashBacktrace();	packages/utils/src/Signal.cj	NO	MISSING	selfhost 无 Windows PrintCrashBacktrace/RVA 输出及同步信号处理调用。
PB121	Utils/UserMemoryUsage.cpp	15	Windows,MinGW	15:#if defined(_WIN32) && defined(__MINGW64__)	平台块负责选择：#if defined(_WIN32) && defined(__MINGW64__) => #include <windows.h>	packages/utils/src/UserMemoryUsage.cj:105	NO	DIVERGENT	selfhost Sampling 在所有平台固定读取 /proc/self/statm。
PB122	Utils/UserMemoryUsage.cpp	19	Apple	19:#ifdef __APPLE__	平台块负责选择：#ifdef __APPLE__ => #include <mach/task.h>	packages/utils/src/UserMemoryUsage.cj:105	NO	DIVERGENT	selfhost Sampling 在所有平台固定读取 /proc/self/statm。
PB123	Utils/UserMemoryUsage.cpp	26	Linux	26:#if defined(__linux__)	平台块负责选择：#if defined(__linux__) => static const int PAGE_SIZE = 4;	packages/utils/src/UserMemoryUsage.cj:105	NO	DIVERGENT	selfhost Sampling 在所有平台固定读取 /proc/self/statm。
PB124	Utils/UserMemoryUsage.cpp	96	Windows,Apple,Linux,MinGW	96:#ifdef __linux__ | 103:#elif defined(_WIN32) && defined(__MINGW64__) | 119:#elif defined(__APPLE__) | 128:#else	平台块负责选择：#ifdef __linux__ => std::ifstream mem("/proc/self/statm");; #elif defined(_WIN32) && defined(__MINGW64__) => HANDLE hProcess;; #elif defined(__APPLE__) => task_basic_info_data_t info;; #else => CJC_ASSERT(false && "Not support for current platform.");	packages/utils/src/UserMemoryUsage.cj:105	NO	DIVERGENT	selfhost Sampling 在所有平台固定读取 /proc/self/statm。
PB125	Utils/UserTimer.cpp	50	Apple,MinGW,OHOS	50:#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) | 52:#else	平台块负责选择：#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) => (*infoIt).start = std::chrono::system_clock::now();; #else => (*infoIt).start = std::chrono::high_resolution_clock::now();	packages/utils/src/UserTimer.cj	YES	COVERED	时钟选择与 Windows 无 ANSI 输出分支对应。
PB126	Utils/UserTimer.cpp	66	Apple,MinGW,OHOS	66:#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) | 68:#else	平台块负责选择：#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) => (*infoIt).end = std::chrono::system_clock::now();; #else => (*infoIt).end = std::chrono::high_resolution_clock::now();	packages/utils/src/UserTimer.cj	YES	COVERED	时钟选择与 Windows 无 ANSI 输出分支对应。
PB127	Utils/UserTimer.cpp	83	Windows	83:#ifdef _WIN32 | 85:#else	平台块负责选择：#ifdef _WIN32 => printf("[ %s ] only has beginning time, does not have ending time\n", info.title.c_str());; #else => printf("[ \033[31;1m%s\033[0m ] only has beginning time, does not have ending time\n", info.title.c_str());	packages/utils/src/UserTimer.cj	YES	COVERED	时钟选择与 Windows 无 ANSI 输出分支对应。
PB128	Utils/UserTimer.h	49	Apple,MinGW,OHOS	49:#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) | 51:#else	平台块负责选择：#if defined(__APPLE__) || defined(__MINGW64__) || defined(__ohos__) => this->start = std::chrono::system_clock::now();; #else => this->start = std::chrono::high_resolution_clock::now();	packages/utils/src/UserTimer.cj	YES	COVERED	Info 初始时钟选择由 selfhost system_clock/now @When 对应。
PB129	Utils/Utils.cpp	13	MinGW	13:#ifdef __MINGW64__	平台块负责选择：#ifdef __MINGW64__ => (platform-specific declarations)	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB130	Utils/Utils.cpp	23	Windows,Apple,Linux,OHOS,Android	23:#if (defined(__linux__) && !defined(__ohos__) && !defined(__android__)) || defined(_WIN32) | 25:#elif defined(__APPLE__)	平台块负责选择：#if (defined(__linux__) && !defined(__ohos__) && !defined(__android__)) || defined(_WIN32) => #include <malloc.h>; #elif defined(__APPLE__) => #include <malloc/malloc.h>	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB131	Utils/Utils.cpp	35	Windows	35:#ifdef __WIN32	平台块负责选择：#ifdef __WIN32 => #include <libloaderapi.h> // should be at the end to avoid same macro define	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB132	Utils/Utils.cpp	82	Windows	82:#ifdef _WIN32 | 88:#else	平台块负责选择：#ifdef _WIN32 => unsigned int randomInt = 0;; #else => int randomInt = 0;	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB133	Utils/Utils.cpp	198	Windows	198:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => std::transform(key.begin(), key.end(), key.begin(), [](unsigned char c) { return std::toupper(c); });	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB134	Utils/Utils.cpp	208	Windows	208:#ifndef _WIN32	平台块负责选择：#ifndef _WIN32 => static std::vector<std::string> GetPathsFromEnvironmentVars(	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB135	Utils/Utils.cpp	239	Windows	239:#ifdef _WIN32 | 250:#else	平台块负责选择：#ifdef _WIN32 => std::optional<std::string> GetApplicationPath(); #else => std::optional<std::string> GetApplicationPath(	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB136	Utils/Utils.cpp	278	Windows,Apple,Linux,OHOS,Android	278:#if defined(__linux__) && !defined(__ohos__) && !defined(__android__) | 280:#elif defined(_WIN32) | 282:#elif defined(__APPLE__)	平台块负责选择：#if defined(__linux__) && !defined(__ohos__) && !defined(__android__) => malloc_trim(0);; #elif defined(_WIN32) => _heapmin();; #elif defined(__APPLE__) => malloc_zone_t *default_zone = malloc_default_zone();	packages/utils/src/Utils.cj	YES	COVERED	随机数、环境键、应用路径和释放空闲内存的 Windows/macOS/Linux 分支对应。
PB137	main-chir-dis.cpp	52	Windows,Unix	52:#if (defined __unix__) | 54:#elif (defined _WIN32)	平台块负责选择：#if (defined __unix__) => CreateAltSignalStack();; #elif (defined _WIN32) => RegisterCrashExceptionHandler();	-	NO	MISSING	selfhost 无 chir-dis 主程序的发布版平台信号注册对应物。
PB138	main-macrosrv.cpp	19	OHOS	19:#ifdef __ohos__ | 21:#else	平台块负责选择：#ifdef __ohos__ => #include <signal.h>; #else => #include <sys/signal.h>	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB139	main-macrosrv.cpp	15	Windows	15:#ifdef __WIN32 | 17:#else	平台块负责选择：#ifdef __WIN32 => #include <windows.h>; #else => #include <csignal>	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB140	main-macrosrv.cpp	31	Apple,Linux	31:#if defined(__linux__) || defined(__APPLE__) | 35:#else	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => const size_t ARGS_NUM = 6;; #else => const size_t ARGS_NUM = 5;	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB141	main-macrosrv.cpp	44	Apple,Linux	44:#if defined(__linux__) || defined(__APPLE__)	平台块负责选择：#if defined(__linux__) || defined(__APPLE__) => const unsigned int CHECK_INTERVAL = 2;	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB142	main-macrosrv.cpp	96	Windows	96:#ifdef __WIN32 | 110:#else	平台块负责选择：#ifdef __WIN32 => bool CheckPipe(HANDLE read, HANDLE write); #else => bool IsPipe(int fd)	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB143	main-macrosrv.cpp	140	Windows	140:#ifdef _WIN32 | 143:#else	平台块负责选择：#ifdef _WIN32 => HANDLE hRead = reinterpret_cast<HANDLE>(atoi(args[IDX_OF_READ_HANDLE].c_str()));; #else => int hRead = stoi(args[IDX_OF_READ_HANDLE]);	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB144	main-macrosrv.cpp	177	Windows	177:#ifdef _WIN32 | 180:#else	平台块负责选择：#ifdef _WIN32 => CloseHandle(hRead);; #else => [[maybe_unused]] std::lock_guard lg(MacroProcMsger::GetInstance().mutex);	packages/macro/src/MacroEvaluationSrv.cj	NO	DIVERGENT	selfhost 无独立宏服务进程，参数/句柄/父进程监控与平台清理均被进程内模型替代。
PB145	main.cpp	22	Windows	22:#ifdef _WIN32	平台块负责选择：#ifdef _WIN32 => #include <algorithm>	packages/driver/src/Main.cj	YES	COVERED	driver main 的信号注册与 GetApplicationPath 平台分支对应。
PB146	main.cpp	35	Windows,Unix	35:#if (defined __unix__) | 37:#elif (defined _WIN32)	平台块负责选择：#if (defined __unix__) => Cangjie::CreateAltSignalStack();; #elif (defined _WIN32) => Cangjie::RegisterCrashExceptionHandler();	packages/driver/src/Main.cj	YES	COVERED	driver main 的信号注册与 GetApplicationPath 平台分支对应。
PB147	main.cpp	66	Windows	66:#ifdef _WIN32 | 68:#else	平台块负责选择：#ifdef _WIN32 => auto maybeExePath = Utils::GetApplicationPath();; #else => auto maybeExePath = Utils::GetApplicationPath(args[0], environmentVars);	packages/driver/src/Main.cj	YES	COVERED	driver main 的信号注册与 GetApplicationPath 平台分支对应。
